t,accCmpX,accCmpY,accCmpZ
231,-3.81146,0.16677,-8.0194
232,-8.47225,0.16677,-3.35861
233,-4.26718,0.16677,-7.56368
234,4.98218,0.16677,-16.813
235,10.9437,0.16677,-22.7746
236,7.39901,0.64746,-15.5904
237,-2.86735,0.64746,-5.324
238,-8.39532,0.64746,0.203969
239,-3.29874,0.64746,-4.89261
240,6.79548,0.64746,-14.9868
241,7.3439,0.80505,-3.63678
242,7.82556,-0.13734,-15.8403
243,8.28699,-0.13734,-16.3018
244,8.72515,-0.13734,-16.7399
245,9.13755,-0.13734,-17.1523
246,10.836,0.67689,-18.7821
247,3.84891,0.67689,-11.795
248,-5.15713,0.67689,-2.78897
249,-8.09324,0.67689,0.147143
250,-2.51509,0.67689,-5.43101
251,1.69395,-0.08829,-8.91411
252,5.8459,-0.08829,-13.0661
253,9.17492,-0.08829,-16.3951
254,11.0829,-0.08829,-18.3031
255,11.25,-0.08829,-18.4701
256,11.4268,0.46107,-18.5685
257,11.0772,0.46107,-18.2188
258,10.2569,0.46107,-17.3986
259,9.00628,0.46107,-16.148
260,7.38697,0.46107,-14.5287
261,4.3588,0.1962,-12.4913
262,1.00496,0.1962,-9.13745
263,-2.27819,0.1962,-5.8543
264,-1.31155,0.52974,-6.33044
265,-0.261574,0.52974,-7.38042
266,1.33333,0.61803,-9.13228
267,2.9264,0.61803,-10.7254
268,3.81797,9.3602,-11.0149
269,4.74096,9.10546,-11.3189
270,5.63706,8.76489,-11.6141
271,-2.6482,1.36462,-12.0166
272,-7.98918,0.618346,-17.319
273,-7.29539,0.1962,-2.08297
274,-6.39433,0.1962,-2.98403
275,-7.58915,0.61803,-0.00378965
276,-8.2078,0.760277,-18.791
277,-8.19002,0.61803,0.597083
278,-8.13616,0.46107,0.759039
279,-7.64978,0.46107,0.272664
280,-6.3618,0.47088,-1.90803
281,-4.64299,0.47088,-3.62684
282,-2.57264,0.47088,-5.69719
283,1.24018,0.2943,-9.94165
284,5.19925,0.2943,-13.9007
285,6.45259,0.38259,-14.4674
286,7.63575,0.38259,-15.6505
287,10.6291,0.27468,-19.4875
288,10.2291,0.27468,-19.0875
289,6.5739,0.27468,-15.4323
290,0.976673,0.27468,-9.8351
291,-1.20501,0.11772,-6.99615
292,-3.19377,0.11772,-5.00739
293,-5.94495,0.0981,-2.28564
294,-7.85294,0.0981,-0.37765
295,-8.79716,0.41202,-0.090699
296,-6.40909,0.41202,-2.47877
297,-1.48039,0.41202,-7.40747
298,3.357,0.56898,-10.7537
299,7.59535,0.56898,-14.9921
300,7.85428,0.24525,-16.6833
301,8.17666,0.24525,-17.0057
302,10.1222,0.05886,-18.755
303,10.5743,0.05886,-19.2071
304,10.2568,0.35316,-18.2814
305,10.2625,0.35316,-18.2871
306,10.3218,0.0981,-20.0827
307,10.1057,0.0981,-19.8667
308,9.69004,0.0981,-19.451
309,10.3429,0.03924,-19.2209
310,10.1273,0.03924,-19.0054
311,10.4076,0.34335,-18.5107
312,10.111,0.34335,-18.2141
313,9.2976,0.34335,-17.4007
314,8.29315,0.20601,-18.3975
315,7.30901,0.20601,-17.4133
316,4.8752,0.21582,-14.1456
317,2.18612,0.21582,-11.4566
318,0.174833,0.32373,-9.20003
319,-1.85977,0.32373,-7.16543
320,-3.80883,0.32373,-5.21637
321,-6.25473,0.04905,-4.32045
322,-8.12551,0.04905,-2.44967
323,-8.70453,0.15696,-0.605156
324,-9.08129,0.15696,-0.228396
325,-9.35114,0.15696,0.041454
326,-9.27118,-0.10791,-0.156232
327,-9.20741,-0.10791,-0.219997
328,-9.14148,-0.10791,-0.285931
329,-8.20355,-0.01962,-1.9498
330,-6.7958,0.25506,-3.15154
331,-4.96908,0.25506,-4.97826
332,-2.8447,0.25506,-7.10264
333,-0.447669,0.32373,-8.65601
334,1.98848,0.32373,-11.0922
335,4.30315,0.32373,-13.4068
336,6.35677,0.32373,-15.4604
337,5.76311,-0.729247,-2.92018
338,8.77167,-0.450659,-1.33556
339,10.0095,0.0416005,-0.106707
340,9.40522,-3.3236,-10.4749
341,9.20411,0.10791,-19.1514
342,8.9575,0.10791,-18.9048
343,3.40635,0.04905,-12.8828
344,-3.7967,0.04905,-5.67976
345,-6.44553,0.26487,-3.01131
346,-8.41536,0.26487,-1.04148
347,-9.46709,0.26487,0.010246
348,-9.35946,0.00837412,-18.9241
349,-7.61879,-0.423655,-17.196
350,-4.65313,8.82231,-9.1332
351,-2.88692,0.44145,-7.32529
352,-5.90499,0.85347,-4.03254
353,-8.2227,0.85347,-1.71483
354,2.67503,0.30411,-15.3397
355,9.56432,0.30411,-22.229
356,-4.98273,8.18207,-11.1416
357,7.47537,-0.40221,-17.0499
358,9.05226,-0.40221,-18.6268
359,1.1465,-0.40221,-10.7211
360,-6.57376,-1.57941,-3.93275
361,-9.60184,-1.57941,-0.904673
362,-8.66085,-1.12464,-18.201
363,-5.89618,-9.33073,-9.00456
364,6.15988,-1.02024,-16.117
365,9.01031,-5.04839,-13.0439
366,-7.26972,-0.18639,-3.62919
367,-1.49183,-0.18639,-9.40708
368,9.36775,-0.18639,-20.2667
369,-8.29268,0.30411,-3.20464
370,1.88258,0.30411,-13.3799
371,6.26379,0.30411,-17.7611
372,-4.94293,0.14715,-7.39805
373,-9.22796,0.14715,-3.11302
374,-1.33716,0.14715,-11.0038
375,9.98899,-0.06867,-23.3306
376,9.76624,0.16677,-22.323
377,7.34553,0.16677,-19.9023
378,3.75235,0.16677,-16.3092
379,-2.35941,0.08829,-9.1281
380,-7.18831,0.08829,-4.2992
381,-9.34039,0.08829,-2.14712
382,-9.18572,0.2943,-2.1154
383,-9.16317,0.2943,-2.13795
384,-7.66721,0.32373,-2.19184
385,-4.36701,0.32373,-5.49204
386,-0.792218,9.64749,-11.3596
387,2.94439,-1.16668,-9.26549
388,8.48998,0.00981,-19.3693
389,10.7011,0.00981,-21.5804
390,8.65453,0.00981,-19.5338
391,2.77513,0.15696,-11.2902
392,-4.11999,0.15696,-4.39509
393,-6.50611,0.02943,-2.47985
394,-8.18379,0.02943,-0.802175
395,-8.67097,0.02943,-0.31499
396,-8.19645,0.28449,-0.397112
397,-6.90276,0.28449,-1.6908
398,-8.24189,0.24525,0.325219
399,-8.46895,0.24525,0.552282
400,-5.30376,-0.553075,-16.2423
401,0.95043,10.0778,-9.53107
402,4.6371,9.38505,-9.85441
403,7.8725,7.5026,-10.0853
404,10.1651,0.14715,-18.3859
405,10.5232,0.00981,-18.3221
406,4.639,0.00981,-12.4379
407,-3.44749,0.00981,-4.35146
408,-0.589824,0.17658,-7.56229
409,2.2301,0.17658,-10.3822
410,-0.98173,0.17658,-6.04223
411,-3.98565,0.17658,-3.03831
412,-6.32977,0.17658,-0.694188
413,-6.5023,0.16677,-2.05202
414,-7.6508,0.26487,-0.599411
415,-7.80247,0.26487,-0.447735
416,-6.92485,0.26487,-1.32536
417,-6.00239,0.16677,-1.37473
418,-4.76344,0.16677,-2.61368
419,-3.28087,0.16677,-4.09625
420,-1.15924,0.20601,-7.18907
421,0.975506,0.20601,-9.32382
422,1.53421,0.22563,-9.28411
423,2.09461,0.22563,-9.84451
424,2.8307,0.16677,-10.7866
425,3.30109,0.16677,-11.257
426,3.76913,0.16677,-11.725
427,2.54659,0.28449,-10.7477
428,1.40659,0.28449,-9.60775
429,3.60499,-0.960694,-9.09876
430,5.70004,-0.89749,-7.01886
431,7.04165,0.28449,-14.7523
432,8.21839,0.28449,-15.9291
433,9.27558,0.28449,-16.9862
434,8.56561,0.10791,-15.8839
435,7.62497,0.10791,-14.9432
436,5.41353,0.21582,-13.0065
437,3.03155,0.21582,-10.6245
438,1.25724,0.26487,-8.65398
439,-0.503891,-0.855687,-12.9015
440,-2.16282,-0.77043,-14.5485
441,-3.36858,0.2943,-4.29303
442,-4.40594,0.2943,-3.25567
443,-1.91149,0.24525,-5.19095
444,1.08807,0.24525,-8.19051
445,4.21722,0.24525,-11.3197
446,0.795926,-8.974,-9.28712
447,-2.4697,-7.86048,-8.21132
448,-4.62815,0.25506,-2.4841
449,-6.25596,0.25506,-0.856286
450,-7.1431,0.25506,0.0308532
451,-7.21108,0.33354,-0.126798
452,-7.24357,0.33354,-0.094312
453,-6.19885,0.36297,-0.776057
454,-3.82868,0.36297,-3.14623
455,-2.40067,0.04905,-4.18184
456,-0.898096,0.04905,-5.68441
457,0.693918,0.04905,-7.27643
458,-2.36181,0.22563,-4.07355
459,-4.89573,0.22563,-1.53963
460,-6.11363,-0.37345,-18.2061
461,-6.93676,-0.137086,-19.0233
462,-7.31473,0.115358,-19.3986
463,-7.30428,0.30411,0.270506
464,-7.16929,0.30411,0.135525
465,-7.22435,0.32373,-0.13315
466,-7.30301,0.32373,-0.0544883
467,-7.33654,0.32373,-0.0209589
468,-7.33708,0.26487,-0.265674
469,-7.33737,0.26487,-0.265376
470,-6.79382,0.0153707,-18.6268
471,-5.12727,-0.33141,-16.9723
472,-2.59419,-0.590768,-14.4575
473,-2.09628,0,-4.69224
474,-1.62511,0,-5.16341
475,2.12963,-0.961023,-9.08072
476,5.90557,0.21582,-12.1742
477,2.29481,0.41202,-9.16181
478,-1.2873,0.41202,-5.5797
479,-4.3432,0.41202,-2.5238
480,-0.0643197,0.23544,-6.3318
481,4.86687,0.23544,-11.263
482,6.56008,-8.33412,-10.5026
483,8.13148,0.06867,-14.8415
484,6.46767,-0.880832,-5.95104
485,4.5755,-0.954745,-7.82952
486,0.751147,9.73181,-9.505
487,-2.74828,8.40936,-9.25527
488,-5.49987,-0.6077,-17.4795
489,0.359159,0.05886,-6.4806
490,7.23591,0.05886,-13.3573
491,11.7056,0.05886,-17.827
492,6.27802,-0.897446,-6.09069
493,-1.66723,0.18639,-5.78837
494,1.0705,0.53955,-5.8774
