t,accX,accY,accZ
3446,-0.20601000000000003,-0.37278000000000006,-10.035630000000001
3447,-0.20601000000000003,-0.37278000000000006,-10.035630000000001
3448,-0.20601000000000003,-0.37278000000000006,-10.035630000000001
3449,-0.1962,-0.23544,-9.770760000000001
3450,-0.1962,-0.23544,-9.770760000000001
3451,-1.0987200000000001,-0.4316400000000001,-9.162540000000002
3452,-1.0987200000000001,-0.4316400000000001,-9.162540000000002
3453,-1.0987200000000001,-0.4316400000000001,-9.162540000000002
3454,-1.42245,-1.5597900000000002,-10.192590000000001
3455,-1.42245,-1.5597900000000002,-10.192590000000001
3456,-0.73575,-0.96138,-9.55494
3457,-0.73575,-0.96138,-9.55494
3458,-1.30473,0.52974,-9.329310000000001
3459,-1.30473,0.52974,-9.329310000000001
3460,-1.30473,0.52974,-9.329310000000001
3461,-2.7369900000000005,-0.5199300000000001,-10.457460000000001
3462,-2.7369900000000005,-0.5199300000000001,-10.457460000000001
3463,-1.2360600000000002,0.0,-8.97615
3464,-1.2360600000000002,0.0,-8.97615
3465,-1.2360600000000002,0.0,-8.97615
3466,-1.5696,-0.11772,-9.94734
3467,-1.5696,-0.11772,-9.94734
3468,-1.33416,-0.56898,-9.55494
3469,-1.33416,-0.56898,-9.55494
3470,-1.33416,-0.56898,-9.55494
3471,-1.5303600000000002,-0.6867000000000001,-9.65304
3472,-1.5303600000000002,-0.6867000000000001,-9.65304
3473,-1.74618,-1.2164400000000002,-9.682470000000002
3474,-1.74618,-1.2164400000000002,-9.682470000000002
3475,-1.74618,-1.2164400000000002,-9.682470000000002
3476,-1.6971300000000002,-1.2851100000000002,-9.584370000000002
3477,-1.6971300000000002,-1.2851100000000002,-9.584370000000002
3478,-1.8639000000000001,-0.41202000000000005,-9.65304
3479,-1.8639000000000001,-0.41202000000000005,-9.65304
3480,-1.8050400000000002,-0.11772,-9.50589
3481,-1.8050400000000002,-0.11772,-9.50589
3482,-1.92276,-0.17658000000000001,-9.66285
3483,-1.92276,-0.17658000000000001,-9.66285
3484,-1.9325700000000001,-0.56898,-9.59418
3485,-1.9325700000000001,-0.56898,-9.59418
3486,-1.9325700000000001,-0.56898,-9.59418
3487,-1.9325700000000001,-0.56898,-9.59418
3488,-1.88352,-0.33354,-9.623610000000001
3489,-1.88352,-0.33354,-9.623610000000001
3490,-1.7363700000000002,0.0981,-9.682470000000002
3491,-1.7363700000000002,0.0981,-9.682470000000002
3492,-1.6971300000000002,0.0981,-9.682470000000002
3493,-1.6971300000000002,0.0981,-9.682470000000002
3494,-1.7265600000000003,-0.1962,-9.67266
3495,-1.7265600000000003,-0.1962,-9.67266
3496,-1.7265600000000003,-0.1962,-9.67266
3497,-1.81485,-0.5199300000000001,-9.682470000000002
3498,-1.81485,-0.5199300000000001,-9.682470000000002
3499,-1.81485,-0.5199300000000001,-9.682470000000002
3500,-1.71675,-0.52974,-9.574560000000002
3501,-1.71675,-0.52974,-9.574560000000002
3502,-1.88352,-0.66708,-9.64323
3503,-1.88352,-0.66708,-9.64323
3504,-2.01105,-0.51012,-9.70209
3505,-2.01105,-0.51012,-9.70209
3506,-1.9816200000000002,-0.35316000000000003,-9.55494
3507,-1.9816200000000002,-0.35316000000000003,-9.55494
3508,-1.9816200000000002,-0.35316000000000003,-9.55494
3509,-2.04048,0.06867000000000001,-9.53532
3510,-2.04048,0.06867000000000001,-9.53532
3511,-2.0601,0.4905,-9.54513
3512,-2.0601,0.4905,-9.54513
3513,-2.0601,0.4905,-9.54513
3514,-2.1582000000000003,0.14715,-9.4176
3515,-2.1582000000000003,0.14715,-9.4176
3516,-2.2661100000000003,0.0981,-9.574560000000002
3517,-2.2661100000000003,0.0981,-9.574560000000002
3518,-2.16801,-0.13734000000000002,-9.59418
3519,-2.16801,-0.13734000000000002,-9.59418
3520,-2.16801,-0.13734000000000002,-9.59418
3521,-2.09934,0.04905,-9.50589
3522,-2.09934,0.04905,-9.50589
3523,-2.09934,0.04905,-9.50589
3524,-2.11896,0.27468000000000004,-9.55494
3525,-2.11896,0.27468000000000004,-9.55494
3526,-2.1582000000000003,0.04905,-9.45684
3527,-2.1582000000000003,0.04905,-9.45684
3528,-2.27592,0.35316000000000003,-9.613800000000001
3529,-2.27592,0.35316000000000003,-9.613800000000001
3530,-2.16801,0.69651,-9.79038
3531,-2.16801,0.69651,-9.79038
3532,-2.16801,0.69651,-9.79038
3533,-2.2366800000000002,0.71613,-9.5157
3534,-2.2366800000000002,0.71613,-9.5157
3535,-2.2661100000000003,0.8534700000000001,-9.584370000000002
3536,-2.2661100000000003,0.8534700000000001,-9.584370000000002
3537,-2.2661100000000003,0.8534700000000001,-9.584370000000002
3538,-1.88352,0.40221000000000007,-9.54513
3539,-1.88352,0.40221000000000007,-9.54513
3540,-1.5794100000000002,0.30411000000000005,-9.623610000000001
3541,-1.5794100000000002,0.30411000000000005,-9.623610000000001
3542,-1.4616900000000002,0.04905,-9.584370000000002
3543,-1.4616900000000002,0.04905,-9.584370000000002
3544,-1.4616900000000002,0.04905,-9.584370000000002
3545,-1.4126400000000001,-0.25506,-9.613800000000001
3546,-1.4126400000000001,-0.25506,-9.613800000000001
3547,-1.5597900000000002,-0.16677,-9.80019
3548,-1.5597900000000002,-0.16677,-9.80019
3549,-1.5597900000000002,-0.16677,-9.80019
3550,-1.7363700000000002,-0.44145000000000006,-9.64323
3551,-1.7363700000000002,-0.44145000000000006,-9.64323
3552,-1.8050400000000002,-0.94176,-9.5157
3553,-1.8050400000000002,-0.94176,-9.5157
3554,-1.8050400000000002,-0.94176,-9.5157
3555,-1.7756100000000001,-0.89271,-9.633420000000001
3556,-1.7756100000000001,-0.89271,-9.633420000000001
3557,-1.8442800000000001,-1.0104300000000002,-9.5157
3558,-1.8442800000000001,-1.0104300000000002,-9.5157
3559,-1.9325700000000001,-0.981,-9.60399
3560,-1.9325700000000001,-0.981,-9.60399
3561,-1.9325700000000001,-0.981,-9.60399
3562,-1.8442800000000001,-0.87309,-9.60399
3563,-1.8442800000000001,-0.87309,-9.60399
3564,-1.95219,-0.5395500000000001,-9.67266
3565,-1.95219,-0.5395500000000001,-9.67266
3566,-1.95219,-0.5395500000000001,-9.67266
3567,-1.87371,-0.039240000000000004,-9.59418
3568,-1.87371,-0.039240000000000004,-9.59418
3569,-1.90314,0.2943,-9.52551
3570,-1.90314,0.2943,-9.52551
3571,-2.0208600000000003,0.17658000000000001,-9.52551
3572,-2.0208600000000003,0.17658000000000001,-9.52551
3573,-2.0208600000000003,0.10791000000000002,-9.613800000000001
3574,-2.0208600000000003,0.10791000000000002,-9.613800000000001
3575,-2.0208600000000003,0.10791000000000002,-9.613800000000001
3576,-2.0601,0.21582000000000004,-9.613800000000001
3577,-2.0601,0.21582000000000004,-9.613800000000001
3578,-2.24649,-0.11772,-9.447030000000002
3579,-2.24649,-0.11772,-9.447030000000002
3580,-2.24649,-0.11772,-9.447030000000002
3581,-2.05029,-0.24525,-9.53532
3582,-2.05029,-0.24525,-9.53532
3583,-2.04048,0.32373,-9.52551
3584,-2.04048,0.32373,-9.52551
3585,-2.1483900000000005,0.41202000000000005,-9.69228
3586,-2.1483900000000005,0.41202000000000005,-9.69228
3587,-2.1483900000000005,0.41202000000000005,-9.69228
3588,-1.6382700000000001,0.16677,-9.819810000000002
3589,-1.6382700000000001,0.16677,-9.819810000000002
3590,-2.20725,0.20601000000000003,-9.721710000000002
3591,-2.20725,0.20601000000000003,-9.721710000000002
3592,-2.20725,0.20601000000000003,-9.721710000000002
3593,-2.01105,-0.0981,-9.55494
3594,-2.01105,-0.0981,-9.55494
3595,-2.0895300000000003,-0.30411000000000005,-9.52551
3596,-2.0895300000000003,-0.30411000000000005,-9.52551
3597,-2.0895300000000003,-0.30411000000000005,-9.52551
3598,-2.20725,-0.50031,-9.65304
3599,-2.20725,-0.50031,-9.65304
3600,-2.03067,-0.6867000000000001,-9.56475
3601,-2.03067,-0.6867000000000001,-9.56475
3602,-1.95219,-0.9123300000000001,-9.53532
3603,-1.95219,-0.9123300000000001,-9.53532
3604,-1.95219,-0.9123300000000001,-9.53532
3605,-1.9423800000000002,-1.03005,-9.447030000000002
3606,-1.9423800000000002,-1.03005,-9.447030000000002
3607,-1.9325700000000001,-0.9221400000000001,-9.53532
3608,-1.9325700000000001,-0.9221400000000001,-9.53532
3609,-1.9325700000000001,-0.9221400000000001,-9.53532
3610,-1.8050400000000002,-0.79461,-9.623610000000001
3611,-1.8050400000000002,-0.79461,-9.623610000000001
3612,-1.79523,-0.66708,-9.46665
3613,-1.79523,-0.66708,-9.46665
3614,-1.79523,-0.66708,-9.46665
3615,-1.8442800000000001,-0.8338500000000001,-9.52551
3616,-1.8442800000000001,-0.8338500000000001,-9.52551
3617,-1.65789,-0.8338500000000001,-9.4176
3618,-1.65789,-0.8338500000000001,-9.4176
3619,-1.65789,-0.8338500000000001,-9.4176
3620,-1.5696,-0.67689,-9.574560000000002
3621,-1.5696,-0.67689,-9.574560000000002
3622,-1.7658000000000003,-0.4905,-9.69228
3623,-1.7658000000000003,-0.4905,-9.69228
3624,-1.78542,-0.35316000000000003,-9.70209
3625,-1.78542,-0.35316000000000003,-9.70209
3626,-1.7363700000000002,-0.10791000000000002,-9.584370000000002
3627,-1.7363700000000002,-0.10791000000000002,-9.584370000000002
3628,-1.7363700000000002,-0.10791000000000002,-9.584370000000002
3629,-1.7069400000000001,-0.08829000000000001,-9.70209
3630,-1.7069400000000001,-0.08829000000000001,-9.70209
3631,-1.54017,-0.21582000000000004,-9.59418
3632,-1.54017,-0.21582000000000004,-9.59418
3633,-1.54017,-0.21582000000000004,-9.59418
3634,-1.62846,0.46107000000000004,-9.574560000000002
3635,-1.62846,0.46107000000000004,-9.574560000000002
3636,-1.6382700000000001,0.42183000000000004,-9.348930000000001
3637,-1.6382700000000001,0.42183000000000004,-9.348930000000001
3638,-1.6382700000000001,0.42183000000000004,-9.348930000000001
3639,-1.5696,0.02943,-9.5157
