timestamp (ms),GPS_Lon,Cal_Lon
966609.8220214844,35.1477677,35.1484767
966709.8220214844,35.1477677,35.1485007
966809.8220214844,35.1477677,35.1485247
966909.8220214844,35.1478088,35.1485464
967009.8220214844,35.1478088,35.1485705
967109.8220214844,35.1478088,35.1485946
967209.8220214844,35.1478912,35.1486164
967309.8220214844,35.1478912,35.1486405
967409.8220214844,35.1479322,35.1486621
967509.8220214844,35.1479322,35.1486862
967609.8220214844,35.1479732,35.1487078
967709.8220214844,35.1479732,35.1487319
967809.8220214844,35.1480141,35.1487536
967909.8220214844,35.1480141,35.1487777
968009.8220214844,35.1480141,35.1488018
968109.8220214844,35.1480141,35.1488259
968209.8220214844,35.1480956,35.1488477
968309.8220214844,35.1480956,35.1488718
968409.8220214844,35.1481363,35.1488934
968509.8220214844,35.1481363,35.1489174
968609.8220214844,35.1481771,35.148939
968709.8220214844,35.1481771,35.1489631
968809.8220214844,35.1481771,35.1489872
968909.8220214844,35.1482588,35.149009
969009.8220214844,35.1482588,35.149033
969109.8220214844,35.1482588,35.149057
969209.8220214844,35.1482996,35.1490786
969309.8220214844,35.1482996,35.1491027
969409.8220214844,35.1483407,35.1491242
969509.8220214844,35.1483407,35.1491484
969609.8220214844,35.1483818,35.14917
969709.8220214844,35.1483818,35.1491942
969809.8220214844,35.1483818,35.1492184
969909.8220214844,35.1484643,35.1492396
970009.8220214844,35.1484643,35.149264
970109.8220214844,35.1484643,35.1492884
970209.8220214844,35.1485058,35.1493098
970309.8220214844,35.1485058,35.1493343
970409.8220214844,35.1485474,35.1493557
970509.8220214844,35.1485474,35.1493802
970609.8220214844,35.1485474,35.1494047
970709.8220214844,35.1485891,35.149426
970809.8220214844,35.1485891,35.1494506
970909.8220214844,35.1486729,35.1494713
971009.8220214844,35.1486729,35.1494961
971109.8220214844,35.1486729,35.1495209
971209.8220214844,35.1487152,35.1495425
971309.8220214844,35.1487152,35.1495674
971409.8220214844,35.1487575,35.149589
971509.8220214844,35.1487575,35.1496139
971609.8220214844,35.1488,35.1496356
971709.8220214844,35.1488,35.1496606
971809.8220214844,35.1488,35.1496856
971909.8220214844,35.1488851,35.1497071
972009.8220214844,35.1488851,35.149732
972109.8220214844,35.1488851,35.1497569
972209.8220214844,35.1489276,35.1497788
972309.8220214844,35.1489276,35.1498038
972409.8220214844,35.1489701,35.1498256
972509.8220214844,35.1489701,35.1498506
972609.8220214844,35.1490125,35.1498723
972709.8220214844,35.1490125,35.1498972
972809.8220214844,35.1490125,35.1499221
972909.8220214844,35.1490971,35.1499436
973009.8220214844,35.1490971,35.1499684
973109.8220214844,35.1490971,35.1499932
973209.8220214844,35.1491819,35.1500148
973309.8220214844,35.1491819,35.1500397
973409.8220214844,35.1491819,35.1500646
973509.8220214844,35.1491819,35.1500895
973609.8220214844,35.1493103,35.1501111
973709.8220214844,35.1493103,35.1501362
973809.8220214844,35.1493103,35.1501613
973909.8220214844,35.1493103,35.1501864
974009.8220214844,35.1493103,35.1502115
974109.8220214844,35.1493103,35.1502366
974209.8220214844,35.1493961,35.1502587
974309.8220214844,35.1493961,35.1502838
974409.8220214844,35.1493961,35.1503089
974509.8220214844,35.1493961,35.150334
974609.8220214844,35.1495259,35.1503563
974709.8220214844,35.1495259,35.1503817
974809.8220214844,35.1495259,35.1504071
974909.8220214844,35.1495259,35.1504325
975009.8220214844,35.1495259,35.1504579
975109.8220214844,35.1496131,35.1504833
975209.8220214844,35.1496131,35.1505087
975309.8220214844,35.1496131,35.1505341
975409.8220214844,35.1496131,35.1505595
975509.8220214844,35.1496131,35.1505849
